,DOW,LKNAME,CTY,NEAREST_TOWN,SURVEYTYPE,SURVEYDATE,black bullhead_GN,black bullhead_TN,brown bullhead_GN,brown bullhead_TN,yellow bullhead_GN,yellow bullhead_TN,bigmouth buffalo_GN,bigmouth buffalo_TN,black crappie_GN,black crappie_TN,bluegill_GN,bluegill_TN,largemouth bass_GN,largemouth bass_TN,northern pike_GN,northern pike_TN,walleye_GN,walleye_TN,white crappie_GN,white crappie_TN,white sucker_GN,white sucker_TN,yellow perch_GN,yellow perch_TN,common carp_GN,common carp_TN,highfin carpsucker_TN,river carpsucker_GN,river carpsucker_TN,DOWLKNUM,Sorder1,Sorder2,Sorder3,Sorder4,Sorder5,Sorder6,Sorderout,notes,exclude,PWATER,PDEVL,PBARE,PFOR,PGRASS,PAG,PWET,PMISC,X.LK_AREA.,X.LK_PERIM.,depthft,LAKE_NAME,SchuppLAKE_CLASS,UTMeasting,UTMnorthing,HUC04,MAJOR,CATCH_ID,watershed.acres.,dow,fish_date,BHD_TN,BLG_TN,CAP_GN,CRP_TN,NOP_GN,WAE_GN,YEP_GN,veg_date,veg_rich,S_rich,utmx,utmy,ecoreg,shedaream2,depthm,aream2,phuman,sdi,secchim,ln_shedaream2,ln_aream2
2,2000400,Peltier,Anoka,Centerville (Anoka),Re-Survey,5-Aug-02,2.79048,0.3469527,0,0,0,0.7982766,0,2.1761667,1.6761,1.1056824,0.06342,4.7382894,0.187995,0.0976668,16.097355,2.3532444,2.684025,0.1933404,0,0,4.197045,0.7278804,0.94677,0.080634,0,4.5920157,0,0,0,2000400,145627.069,91140.57764,52038.73312,10991.69005,0,0,4,,NA,0.110423374,0.140133749,0,0.176526554,0.041418948,0.384461222,0.147036153,0,550.45,41477.89,15.9,Peltier,38,495086,5003670.3,701,20,2.01E+14,67257.37667,2000400,8/5/02,0.890844928,1.678583162,0,0.810611198,15.84427692,2.373210292,0.858137223,8/22/02,11,5,495389,5003280,eastern temperate forests,272182035.4,4.84632,2338639.925,0.524594971,2.933046,0.830647059,19.42198165,14.66508009
3,2000600,Centerville,Anoka,Centerville (Anoka),Re-Survey,29-Jul-02,0.9476307,0.5079942,0,0,0,0.3419244,0,2.86749,0.69309,0.74292,0.3167829,2.4558489,0.0631482,0.3247104,12.4575,1.4821254,6.6340944,0.5311425,0,0,0.62514,0.318912,0.1357641,0.0322536,1.329555,1.0793178,0,0,0,2000600,11280.21919,0,0,0,0,0,1,,NA,0.306463607,0.204625032,0,0.086789013,0.013475535,0.262212292,0.126434522,0,473.86,21156.84,19,Centerville,24,494502,5001094.6,701,20,2.01E+14,1602.485757,2000600,7/29/02,0.69742088,1.294123125,1.233785033,0.726341109,11.69636271,6.190760248,0.147353501,8/22/02,15,7,494461,5001110,eastern temperate forests,6485055.719,5.7912,1917604.611,0.466837324,1.314644865,0.910754717,15.68501097,14.46658737
4,2002600,Linwood,Anoka,Wyoming                       ,Re-Survey,6-Jul-09,0.6217425,0.1908942,0,0,0.7274274,0,0,0,1.569645,0.0289014,0.34881,1.961037,0.08154,0,16.96032,1.3320918,2.656845,0,0.007701,0.0355152,0.2944953,0,0.0481992,0,0,0.6361026,0,0,0,2002600,14351.57017,13392.27887,0,0,0,0,2,,NA,0.105835543,0.045195721,0,0.345062797,0.03567956,0.221743897,0.246482482,0,568.89,22455,41.8,Linwood,38,491381,5022034.6,703,37,3.71E+14,7137.539842,2002600,7/6/09,0.183685092,0.971310446,0,0.063944623,16.7199249,2.337717062,0.048821558,7/6/09,22,14,491523,5022020,eastern temperate forests,28884714.49,12.74064,2315168.137,0.266939618,1.345639983,1.0764,17.1788231,14.65499287
5,2002600,Linwood,Anoka,Wyoming                       ,Re-Survey,12-Jul-99,10.7036199,0.6422634,0.0338844,0.0338844,0.2549484,0.818571,0,0,1.4617404,1.9937889,0.05436,1.9681491,0.269082,0.0523215,5.9352966,0.5062728,1.4146737,0.0757416,0.1507584,0.4322526,0,0,0.734766,0.0603396,0,0.7085826,0,0,0,2002600,14351.57017,13392.27887,0,0,0,0,2,,NA,0.105835543,0.045195721,0,0.345062797,0.03567956,0.221743897,0.246482482,0,568.89,22455,41.8,Linwood,38,491381,5022034.6,703,37,3.71E+14,7137.539842,2002600,7/6/09,0.183685092,0.971310446,0,0.063944623,16.7199249,2.337717062,0.048821558,7/6/09,22,14,491523,5022020,eastern temperate forests,28884714.49,12.74064,2315168.137,0.266939618,1.345639983,1.0764,17.1788231,14.65499287
6,2008400,Crooked,Anoka,Andover                       ,Re-Survey,12-Jul-93,0.19026,0.030804,0,0,0,0.07248,0,0,1.03284,0.19932,2.6274,5.740416,0.206115,0.030804,6.298965,0.030351,0.47565,0,0,0,0.7248,0.063873,0.985275,0,4.3941,1.119363,0,0,0,2008400,447.63007,0,0,0,0,0,0,,NA,0.242609104,0.661661192,0,0.056780854,0,0.009385265,0.029563585,0,NA,NA,26,Crooked,30,473066,5006452.8,701,20,2.01E+14,470.4258102,2008400,7/20/09,0.263250786,0.940982841,0.644348137,0.032586326,2.425808638,2.206946746,0.564179752,7/20/09,10,7,473063,5006360,eastern temperate forests,1903753.326,7.9248,478743.538,0.671046457,1.942154869,1.89677686,14.45933793,13.07892032
7,2008400,Crooked,Anoka,Andover                       ,Re-Survey,20-Jul-09,0,0,0,0,0,0.32616,0,0,0.41223,0.0305775,4.505085,3.6693,0.71574,0.22197,2.70441,0,2.1744,0,0,0,1.596825,0.5060916,0.5436,0.0478368,0.659115,0,0,0,0,2008400,447.63007,0,0,0,0,0,0,,NA,0.242609104,0.661661192,0,0.056780854,0,0.009385265,0.029563585,0,NA,NA,26,Crooked,30,473066,5006452.8,701,20,2.01E+14,470.4258102,2008400,7/20/09,0.263250786,0.940982841,0.644348137,0.032586326,2.425808638,2.206946746,0.564179752,7/20/09,10,7,473063,5006360,eastern temperate forests,1903753.326,7.9248,478743.538,0.671046457,1.942154869,1.89677686,14.45933793,13.07892032
8,2065400,Unnamed,Anoka,Coon Rapids                   ,Re-Survey,4-Aug-03,0,0.1075875,0,0,0,0,0,0,0,0.005889,0,0,0,0,0,0,0,0,0.03171,0.346545,0.41676,0.358776,0,0,0.64326,0.0347451,0,0,0,2065400,0,0,0,0,0,0,0,,NA,0.535714286,0.040178571,0,0.142857143,0,0.035714286,0.245535714,0,NA,NA,36,Unnamed(Cenaiko),33,476357,4998565.5,701,20,2.01E+14,52.14999846,2065400,8/4/03,0.115866245,0,0.753165378,0.356072317,0,0,0,8/6/03,5,4,476502,4998295,eastern temperate forests,211044.4004,10.9728,115699.7274,0.075892857,1.267946844,2.54028169,12.25982382,11.65875356
10,3032800,White Earth,Becker,White Earth                   ,Re-Survey,15-Jul-02,0.5830563,0.157644,0.2499654,1.287426,0.4917315,1.2107331,0,0,0,0.079728,0,2.248692,0,0.1988217,2.6080116,0.4002255,10.4648436,0.8288541,0,0,2.7930168,0,1.0220586,0,0,0.465684,0,0,0,3032800,49781.10489,12741.34339,12770.6806,0,0,0,3,,NA,0.146768199,0.021276481,0.000176116,0.742835696,0.015842842,0.029911459,0.043189207,0,2101.1,81131.26,112.3,White Earth,22,291181,5223165.7,902,60,6.00E+14,64950.89365,3032800,7/15/02,1.071635054,1.156556648,0,0.069219908,2.864780552,10.55485242,0.750492747,7/31/02,39,15,291100,5223130,eastern temperate forests,262847992.5,34.22904,8055517.642,0.051187941,2.197776957,4.078066667,19.38708645,15.90186784
11,3057500,Leif,Becker,Audubon                       ,Re-Survey,4-Aug-03,2.7173205,0.2431704,0.9817416,0.1061379,0.3339063,1.6047072,0,0,0.0254133,0.0124575,0.9908016,1.570551,0,0.1623552,3.6512706,0.2714376,1.0764639,0,0,0,0,0,0.0212457,0.0059796,0,2.1744,0,0,0,3057500,238.97962,0,0,0,0,0,0,,NA,0.249199035,0.050107272,0,0.24474383,0.03229392,0.411011772,0.01264417,0,520.6,59651.41,26,Leif,34,267903,5187200,902,56,5.60E+14,2880.983608,3057500,8/4/03,1.757640156,1.040406594,0,0.013583565,4.282688174,1.178054473,0.023602233,7/31/03,37,12,267946,5187030,eastern temperate forests,11658973.65,7.9248,2106754.847,0.461119044,3.534394738,1.726956522,16.27158671,14.56065933
12,3057600,Big Cormorant,Becker,Audubon                       ,Re-Survey,19-Aug-02,0.0512343,0.0183918,1.185954,0.07701,1.92525,0.186636,0,0,0.252774,0.2955825,0.6760572,1.1843685,0.080634,0.1333179,6.9818172,0.485616,9.3771,0.5949702,0,0,4.528188,0.5769861,0.1629441,0.0044394,0,2.5193142,0,0,0,3057600,4442.86157,6710.07307,0,0,0,0,0,,NA,0.340889406,0.044509343,0.000838878,0.222198569,0.041981433,0.32894503,0.020637342,0,3657.12,98849.6,74.7,Big Cormorant,22,266305,5183661.9,902,56,5.60E+14,22531.67852,3057600,8/19/02,0.16975708,0.974992363,0,0.275172775,7.244475438,9.590813072,0.148767934,7/26/02,22,14,266514,5183840,eastern temperate forests,91182832.64,22.76856,14799609.83,0.373454373,2.209145501,4.587988506,18.3283772,16.51011138
13,3058800,Upper Cormorant,Becker,Lake Park                     ,Re-Survey,7-Aug-02,1.9840494,0.0231936,2.8591548,1.3125675,14.7225,1.9441854,0,0,0.172593,0.5869521,0.1748127,3.3695046,0.2711658,0.242355,1.79388,0.8534973,6.6145248,1.5994977,0,0,0.5035095,0,0.0036693,0,0.2931363,3.36126,0,0,0,3058800,1659.30083,0,0,0,0,0,0,,NA,0.213975006,0.045279495,0.002068801,0.24366048,0.058361082,0.408805967,0.027849171,0,937.16,65102.39,29,Upper Cormorant,25,260684,5185738.6,902,56,5.61E+14,9136.375419,3058800,8/7/02,1.805070285,1.876880335,0.264263704,0.460544492,2.033620982,6.468886298,0.004835372,7/24/02,34,17,260968,5185330,eastern temperate forests,36973747.43,8.8392,3750670.317,0.454085462,2.775497664,2.248778409,17.42571869,15.13744513
14,3060200,Middle Cormorant,Becker,Lake Park                     ,Re-Survey,9-Aug-04,0.56172,0,0.212457,0.053001,3.99546,0.153567,0,0,0.1265229,0.0770553,2.1379788,1.3967802,0.5402478,0.23103,4.5019593,0.3738609,2.395011,0.8867475,0,0,1.6449336,0.67497,0,0,0,2.5552824,0,0,0,3060200,4203.88195,5740.305,0,0,0,0,1,,NA,0.249107764,0.04471871,0.001614169,0.242184724,0.052066049,0.384236224,0.026072361,0,668.58,49454.2,35,Middle Cormorant,31,262732,5183025.2,902,56,5.61E+14,11709.63824,3060200,8/9/04,0.165996783,1.238403215,0,0.086454426,4.994326428,2.328274969,0,7/20/04,25,17,262777,5182950,eastern temperate forests,47387414.28,10.668,1654032.619,0.428954934,1.84617669,3.145928962,17.67386723,14.31872688
15,5001300,Little Rock,Benton,Rice                          ,Re-Survey,15-Jul-02,0.432615,0.079275,0.0212004,0.4501008,0.0024462,0,0,0.4428528,0.65232,1.7202675,0,0.4865673,0,0,7.304625,0.3453219,7.7905128,0.7772121,0.0089694,0,8.4184614,1.4978898,0.8560794,0.0509625,2.812224,5.46771,0,0,0,5001300,279183.186,192372.6622,85712.72291,17163.80951,32378.86793,0,5,,NA,0.043320458,0.046912666,3.19E-05,0.114107425,0.020916482,0.712535918,0.06217514,0,1305.74,56239.51,17,Little Rock,41,409092,5064360.1,701,15,1.50E+14,63379.08642,5001300,7/15/02,0.068722435,0.443833838,2.778776523,1.724325635,6.349180346,6.595900353,0.646077702,8/16/02,32,10,409066,5064910,eastern temperate forests,256487088.9,5.1816,5303733.779,0.759448584,2.085635541,0.517842929,19.36258889,15.48392162
16,6000200,Artichoke,Big Stone,Correll                       ,Re-Survey,26-Aug-08,0.29898,0.04077,0,0,0,0,1.837368,0.5258877,1.156056,1.1851839,0.016308,0.076104,0,0,0.148584,0.088788,7.074048,0.0672705,0,0,0,0,0,0,6.71346,22.1798766,0,0,0,6000200,29506.1427,16331.00409,9570.3839,0,0,0,2,,NA,0.15373161,0.04611731,0,0.010147417,0.019418206,0.649361294,0.121224163,0,1964.45,109426.21,13.9,Artichoke,41,254384,5027286.7,702,23,2.30E+14,19152.43485,6000200,8/26/08,0.055034815,0.061968183,7.197299483,1.242238943,0.133562545,6.523147708,0,8/26/08,13,3,254136,5027170,great plains,77507464.01,4.23672,7949732.721,0.695478604,3.336238554,0.8125,18.1658848,15.88864887
17,6000200,Artichoke,Big Stone,Correll                       ,Re-Survey,24-Jun-99,0.620157,0.2822643,0,0,0,0,0.469761,0.7519347,3.754464,4.6353225,0,0.02718,0,0.0500565,26.565279,3.41562,20.14038,31.014192,0,0,0,0,0.564891,0.0313929,12.935868,19.642986,0,0,0,6000200,29506.1427,16331.00409,9570.3839,0,0,0,2,,NA,0.15373161,0.04611731,0,0.010147417,0.019418206,0.649361294,0.121224163,0,1964.45,109426.21,13.9,Artichoke,41,254384,5027286.7,702,23,2.30E+14,19152.43485,6000200,8/26/08,0.055034815,0.061968183,7.197299483,1.242238943,0.133562545,6.523147708,0,8/26/08,13,3,254136,5027170,great plains,77507464.01,4.23672,7949732.721,0.695478604,3.336238554,0.8125,18.1658848,15.88864887
18,6013800,East Toqua,Big Stone,Graceville                    ,Re-Survey,9-Jul-01,7.24347,0.7902132,0,0,0,0.5436,0,0.2087877,0.9513,0.4367373,0.0283125,0.1966926,0,0,4.858425,0.9096693,18.10188,1.233519,0.079275,0.165798,3.6002175,0.2900106,1.0113225,0.0860247,6.761025,24.305715,0,0,0,6013800,28633.3017,14359.37319,5275.62423,0,0,0,2,,NA,0.065953124,0.064069038,0.000509055,0.002877275,0.002902234,0.832558592,0.031130682,0,436.65,16189,8,East Toqua,43,231255,5051092.5,902,55,5.50E+14,13095.75352,6013800,7/9/01,1.185753571,0.140403665,6.617605044,0.555724811,5.031466723,16.3357823,0.893796258,7/9/01,13,0,231224,5051100,great plains,52996846.22,2.4384,1767020.95,0.89662763,1.048482378,0.30375,17.78574296,14.38480561
